INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 40800, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 7.5, actual clock drifts: [-3.9512723402734222, -4.148937916848881, -0.9329400316327217, -4.297257875238561, 1.0199080657976616, -1.292235710970556, 2.033855390776285, -4.105479859037723, 0.6778040998091814, 7.056106039397859]
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 9, "vc": [11, 9, 7, 3, 7, 11, 4, 8, 8, 7], "hlc": [921712, 4]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [0, 12, 1, 6, 0, 7, 5, 3, 0, 3], "hlc": [921710, 9]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 5, "vc": [9, 9, 14, 1, 7, 7, 9, 6, 8, 5], "hlc": [921711, 10]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 8, "vc": [0, 4, 4, 0, 8, 0, 0, 1, 0, 1], "hlc": [921709, 9]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 2, "vc": [2, 5, 7, 3, 5, 12, 3, 8, 7, 7], "hlc": [921712, 3]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 3, "vc": [5, 8, 11, 1, 6, 7, 8, 11, 11, 5], "hlc": [921711, 10]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 2, "vc": [5, 11, 11, 6, 6, 7, 8, 6, 13, 5], "hlc": [921711, 10]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 6, "vc": [2, 4, 4, 3, 4, 3, 3, 1, 9, 10], "hlc": [921713, 1]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 5, "vc": [9, 9, 15, 3, 7, 12, 9, 8, 8, 7], "hlc": [921712, 4]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 8, "vc": [9, 11, 16, 6, 7, 12, 9, 8, 13, 7], "hlc": [921712, 5]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 7, "vc": [5, 8, 11, 9, 6, 7, 8, 11, 11, 8], "hlc": [921712, 3]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 2, "vc": [9, 9, 14, 3, 7, 13, 9, 8, 8, 7], "hlc": [921712, 4]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [5, 12, 11, 6, 6, 7, 10, 6, 1, 5], "hlc": [921711, 8]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [5, 12, 11, 6, 6, 7, 11, 6, 9, 10], "hlc": [921713, 2]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 4, "vc": [5, 11, 11, 6, 8, 7, 8, 6, 14, 5], "hlc": [921711, 11]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 0, "vc": [11, 9, 7, 3, 7, 11, 4, 8, 9, 11], "hlc": [921714, 0]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [12, 9, 7, 3, 7, 11, 4, 8, 8, 7], "hlc": [921712, 5]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 5, "vc": [9, 11, 17, 6, 7, 12, 9, 8, 13, 7], "hlc": [921712, 6]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [5, 8, 11, 10, 6, 7, 8, 11, 11, 8], "hlc": [921712, 4]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [0, 4, 4, 0, 9, 0, 0, 1, 0, 1], "hlc": [921709, 10]}
