INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 41900, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 9.5, actual clock drifts: [-0.41611347666091447, 9.240202938529617, 6.789142363134719, -3.4488543067980437, -4.875205162554888, -2.215716365995857, -6.407023892982044, -8.280528279365639, 0.34407968079160867, 9.414028019743899]
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 6, "vc": [15, 10, 9, 12, 16, 13, 14, 16, 10, 11], "hlc": [921741, 7]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 0, "vc": [8, 8, 9, 6, 9, 7, 16, 16, 10, 12], "hlc": [921742, 2]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 6, "vc": [0, 2, 0, 6, 2, 4, 8, 4, 13, 0], "hlc": [921738, 11]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 6, "vc": [17, 8, 9, 12, 11, 7, 16, 16, 10, 12], "hlc": [921742, 3]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 3, "vc": [16, 13, 9, 18, 11, 10, 12, 19, 11, 11], "hlc": [921743, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 2, "vc": [16, 12, 11, 19, 11, 10, 12, 19, 11, 11], "hlc": [921742, 5]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 5, "vc": [15, 10, 9, 12, 16, 13, 17, 16, 10, 12], "hlc": [921742, 3]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 8, "vc": [15, 10, 9, 12, 16, 13, 18, 16, 13, 12], "hlc": [921742, 4]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [18, 8, 9, 12, 11, 7, 16, 16, 10, 12], "hlc": [921742, 4]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 8, "vc": [16, 14, 9, 18, 11, 10, 12, 19, 11, 11], "hlc": [921743, 1]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 8, "vc": [16, 12, 11, 20, 11, 10, 12, 19, 11, 11], "hlc": [921742, 6]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 7, "vc": [15, 10, 9, 12, 16, 14, 14, 16, 10, 11], "hlc": [921741, 8]}
