INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 43600, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 6.5, actual clock drifts: [3.1756500833812833, 1.9981189640440622, 5.023723171009705, 1.2370294801019428, 2.8048445978807557, 1.2985883444248127, 1.5591785532180946, 0.2557504640536923, 5.172028960143978, -4.642300686874303]
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 8, "vc": [11, 6, 3, 11, 19, 11, 5, 16, 7, 9], "hlc": [921698, 1]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 9, "vc": [11, 6, 6, 13, 20, 11, 5, 17, 7, 16], "hlc": [921698, 2]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 2, "vc": [15, 6, 11, 13, 20, 9, 8, 11, 4, 17], "hlc": [921698, 3]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [19, 4, 8, 5, 19, 10, 8, 14, 4, 11], "hlc": [921697, 5]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 6, "vc": [15, 4, 12, 5, 20, 8, 8, 11, 4, 14], "hlc": [921698, 3]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [6, 11, 1, 16, 17, 9, 10, 7, 6, 10], "hlc": [921697, 6]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [6, 0, 1, 5, 22, 8, 4, 9, 2, 9], "hlc": [921696, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 4, "vc": [6, 9, 1, 7, 14, 4, 11, 6, 2, 10], "hlc": [921695, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 3, "vc": [15, 6, 11, 13, 20, 9, 8, 11, 4, 18], "hlc": [921698, 4]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [20, 4, 8, 5, 22, 10, 8, 14, 4, 11], "hlc": [921697, 6]}
