INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 46300, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 8.5, actual clock drifts: [7.585987728563396, 1.6008081178491516, 6.979053081027349, -7.010896705543091, -1.2409630720320397, 4.269954115470581, 1.294701968697499, 3.6050461764102018, 7.776180883511692, 5.414677225620519]
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [3, 6, 4, 10, 10, 5, 10, 7, 5, 5], "hlc": [921725, 7]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 3, "vc": [3, 2, 2, 0, 11, 1, 4, 0, 1, 4], "hlc": [921724, 8]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 6, "vc": [0, 1, 0, 0, 0, 9, 2, 0, 0, 0], "hlc": [921723, 0]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 1, "vc": [2, 6, 4, 6, 0, 7, 14, 4, 5, 8], "hlc": [921725, 7]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 6, "vc": [7, 12, 4, 6, 6, 7, 14, 4, 7, 8], "hlc": [921725, 8]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 2, "vc": [10, 9, 10, 11, 10, 6, 10, 7, 5, 5], "hlc": [921725, 9]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 4, "vc": [10, 9, 10, 12, 11, 6, 10, 7, 5, 5], "hlc": [921725, 10]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 5, "vc": [2, 6, 4, 6, 0, 9, 15, 4, 5, 8], "hlc": [921725, 8]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [13, 11, 7, 10, 10, 7, 10, 7, 7, 11], "hlc": [921726, 5]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 9, "vc": [14, 9, 7, 3, 8, 7, 7, 1, 3, 7], "hlc": [921727, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 2, "vc": [7, 13, 4, 6, 6, 7, 14, 4, 7, 8], "hlc": [921725, 9]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 5, "vc": [10, 9, 11, 3, 9, 6, 7, 1, 3, 4], "hlc": [921726, 0]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 4, "vc": [10, 9, 10, 13, 11, 6, 10, 7, 5, 5], "hlc": [921725, 11]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 0, "vc": [2, 6, 4, 4, 0, 3, 10, 8, 0, 5], "hlc": [921723, 10]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 9, "vc": [7, 6, 4, 7, 6, 8, 12, 4, 11, 5], "hlc": [921727, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 6, "vc": [13, 11, 7, 10, 10, 7, 10, 7, 7, 12], "hlc": [921726, 6]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 7, "vc": [15, 9, 7, 4, 8, 7, 10, 8, 3, 7], "hlc": [921727, 1]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 1, "vc": [10, 13, 12, 6, 9, 7, 14, 4, 7, 8], "hlc": [921726, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 3, "vc": [10, 9, 10, 13, 12, 6, 10, 7, 5, 5], "hlc": [921725, 12]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 2, "vc": [10, 9, 11, 3, 9, 10, 7, 1, 3, 4], "hlc": [921726, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [13, 11, 7, 10, 10, 9, 16, 7, 7, 12], "hlc": [921726, 7]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 0, "vc": [14, 11, 7, 10, 10, 7, 10, 7, 7, 13], "hlc": [921727, 1]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 8, "vc": [14, 11, 7, 10, 10, 8, 12, 7, 11, 14], "hlc": [921727, 2]}
