INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 43400, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 6.5, actual clock drifts: [2.691747569997812, 5.766260455693281, 1.8248642289621273, 5.910631307849949, 2.0275529149367966, -0.32321109747315546, 3.9098515593894163, 2.0810472525036445, 2.590956422298211, 1.5587843491192945]
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 5, "vc": [8, 14, 17, 5, 15, 4, 4, 11, 6, 7], "hlc": [921698, 4]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 3, "vc": [8, 9, 22, 7, 11, 6, 8, 9, 3, 10], "hlc": [921697, 5]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 6, "vc": [9, 4, 8, 9, 9, 6, 3, 5, 3, 10], "hlc": [921698, 0]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 6, "vc": [10, 12, 17, 5, 14, 12, 4, 11, 6, 7], "hlc": [921698, 4]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 9, "vc": [7, 3, 1, 1, 1, 0, 9, 7, 0, 0], "hlc": [921696, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 3, "vc": [8, 5, 19, 7, 11, 6, 4, 9, 9, 10], "hlc": [921697, 5]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 7, "vc": [7, 7, 12, 3, 10, 6, 7, 7, 1, 16], "hlc": [921696, 5]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 2, "vc": [9, 9, 22, 10, 11, 6, 8, 9, 3, 10], "hlc": [921699, 0]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 8, "vc": [9, 9, 22, 11, 11, 6, 8, 9, 9, 10], "hlc": [921699, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 1, "vc": [10, 14, 17, 5, 15, 13, 4, 11, 6, 7], "hlc": [921698, 5]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 3, "vc": [9, 4, 8, 9, 9, 6, 10, 7, 3, 10], "hlc": [921698, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 5, "vc": [10, 12, 17, 9, 14, 12, 11, 11, 6, 10], "hlc": [921698, 5]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [13, 5, 13, 5, 14, 10, 4, 12, 5, 5], "hlc": [921696, 5]}
