INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 49200, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 2.5, actual clock drifts: [-1.648203973860975, -0.8455879061870042, -1.1523903140039056, 0.5774083441677309, -2.4247753605919593, 1.4345167296798795, 0.8359340082566358, 1.7717441120057087, -1.821887158946352, -1.6271476050242373]
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 0, "vc": [1, 4, 6, 1, 2, 10, 6, 1, 3, 5], "hlc": [921529, 0]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [2, 7, 8, 9, 5, 8, 12, 6, 7, 5], "hlc": [921529, 0]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 9, "vc": [2, 5, 8, 1, 5, 2, 4, 1, 8, 4], "hlc": [921526, 0]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 1, "vc": [5, 0, 0, 1, 0, 3, 5, 4, 4, 10], "hlc": [921526, 9]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 5, "vc": [10, 4, 6, 1, 7, 10, 7, 4, 3, 5], "hlc": [921529, 1]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 4, "vc": [8, 13, 9, 13, 11, 9, 11, 7, 7, 5], "hlc": [921529, 3]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 9, "vc": [8, 14, 9, 13, 11, 9, 11, 7, 7, 10], "hlc": [921529, 4]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [6, 7, 10, 16, 5, 9, 12, 6, 7, 5], "hlc": [921529, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 0, "vc": [9, 6, 8, 13, 12, 9, 8, 6, 7, 5], "hlc": [921528, 6]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [9, 6, 11, 13, 13, 9, 8, 6, 7, 5], "hlc": [921528, 7]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 1, "vc": [2, 12, 9, 9, 8, 11, 11, 7, 7, 5], "hlc": [921530, 0]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 3, "vc": [6, 6, 10, 15, 5, 9, 8, 6, 9, 5], "hlc": [921528, 6]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 8, "vc": [5, 5, 8, 1, 5, 3, 5, 4, 8, 11], "hlc": [921527, 0]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [11, 4, 6, 1, 7, 10, 7, 4, 3, 5], "hlc": [921529, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [8, 15, 9, 13, 11, 9, 11, 7, 7, 10], "hlc": [921529, 5]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [6, 7, 10, 17, 5, 9, 12, 6, 7, 5], "hlc": [921529, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 3, "vc": [9, 6, 11, 13, 14, 9, 8, 6, 7, 5], "hlc": [921528, 8]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 2, "vc": [2, 12, 9, 9, 8, 12, 11, 7, 7, 5], "hlc": [921530, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 5, "vc": [2, 7, 8, 9, 5, 8, 13, 6, 7, 5], "hlc": [921529, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 4, "vc": [6, 6, 10, 15, 5, 9, 8, 6, 10, 5], "hlc": [921528, 7]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [12, 15, 9, 13, 11, 10, 11, 7, 7, 10], "hlc": [921529, 6]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 5, "vc": [2, 12, 12, 9, 8, 12, 11, 7, 7, 5], "hlc": [921530, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 4, "vc": [9, 7, 11, 18, 14, 9, 12, 6, 7, 5], "hlc": [921529, 3]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 8, "vc": [9, 6, 11, 15, 15, 9, 8, 6, 10, 5], "hlc": [921528, 9]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 6, "vc": [2, 12, 9, 9, 8, 13, 13, 7, 7, 5], "hlc": [921530, 2]}
