INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 40400, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 7.5, actual clock drifts: [1.3959306515853207, -3.1334209064736394, -2.056964193643015, -7.460444967501718, -0.6339459155877094, 4.846404761654547, 0.3241498994679839, 5.565218479943878, 1.7825041362752305, 4.448884580952111]
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 7, "vc": [9, 7, 12, 15, 9, 11, 12, 9, 14, 14], "hlc": [921712, 8]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 1, "vc": [3, 4, 13, 5, 14, 5, 8, 7, 4, 17], "hlc": [921713, 0]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 5, "vc": [11, 4, 5, 7, 11, 16, 9, 11, 4, 9], "hlc": [921713, 4]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 9, "vc": [3, 11, 15, 5, 14, 5, 8, 8, 7, 17], "hlc": [921713, 1]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 0, "vc": [10, 9, 17, 7, 9, 11, 8, 8, 7, 9], "hlc": [921712, 6]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 8, "vc": [9, 7, 12, 15, 9, 11, 12, 12, 14, 14], "hlc": [921714, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 6, "vc": [3, 7, 13, 5, 14, 5, 13, 7, 7, 18], "hlc": [921713, 1]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 6, "vc": [12, 4, 5, 7, 11, 16, 9, 11, 4, 9], "hlc": [921713, 5]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 3, "vc": [10, 9, 18, 7, 9, 11, 8, 8, 7, 9], "hlc": [921712, 7]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [7, 7, 12, 17, 7, 9, 11, 9, 9, 14], "hlc": [921712, 6]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 4, "vc": [7, 4, 5, 7, 11, 17, 9, 11, 4, 9], "hlc": [921714, 0]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 8, "vc": [0, 7, 7, 3, 4, 1, 14, 1, 7, 9], "hlc": [921709, 10]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 2, "vc": [10, 9, 18, 18, 9, 11, 11, 9, 9, 14], "hlc": [921712, 8]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 5, "vc": [7, 4, 13, 7, 15, 17, 9, 11, 4, 13], "hlc": [921714, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 0, "vc": [12, 7, 7, 7, 11, 16, 15, 11, 7, 9], "hlc": [921713, 6]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 6, "vc": [9, 7, 12, 15, 9, 11, 14, 9, 15, 14], "hlc": [921712, 9]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [7, 7, 13, 17, 14, 9, 13, 9, 9, 19], "hlc": [921714, 0]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 9, "vc": [13, 4, 5, 7, 11, 16, 9, 11, 4, 9], "hlc": [921713, 6]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 2, "vc": [3, 12, 15, 5, 14, 5, 8, 8, 7, 17], "hlc": [921713, 2]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 4, "vc": [9, 7, 12, 15, 9, 11, 12, 13, 14, 14], "hlc": [921715, 0]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 5, "vc": [9, 7, 12, 15, 9, 11, 14, 9, 16, 14], "hlc": [921712, 10]}
