INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 44300, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 6.5, actual clock drifts: [1.0429606020280868, 5.919042147848273, -6.419345840661828, -0.515299478874538, 1.967350383842163, 0.10465308786227112, 4.095690795666412, -0.6063859378507788, -4.225248802207043, -0.6938742573471259]
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 3, "vc": [8, 7, 8, 8, 5, 3, 10, 4, 6, 3], "hlc": [921695, 9]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 1, "vc": [11, 10, 11, 5, 3, 3, 8, 11, 9, 3], "hlc": [921697, 1]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 1, "vc": [9, 7, 15, 7, 7, 7, 9, 4, 11, 4], "hlc": [921695, 11]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [8, 7, 8, 9, 5, 3, 5, 4, 2, 1], "hlc": [921695, 9]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 2, "vc": [9, 3, 8, 1, 1, 9, 4, 2, 2, 4], "hlc": [921694, 13]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 5, "vc": [8, 7, 8, 8, 5, 3, 11, 4, 6, 3], "hlc": [921695, 10]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [11, 10, 11, 5, 3, 3, 8, 12, 9, 3], "hlc": [921697, 2]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 6, "vc": [0, 3, 9, 0, 1, 1, 4, 2, 2, 6], "hlc": [921694, 9]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 2, "vc": [9, 12, 15, 7, 7, 8, 9, 5, 11, 4], "hlc": [921698, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [11, 13, 15, 7, 7, 8, 9, 12, 11, 4], "hlc": [921698, 1]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [9, 7, 16, 9, 7, 7, 9, 4, 11, 4], "hlc": [921695, 12]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 5, "vc": [9, 7, 17, 9, 7, 9, 9, 4, 11, 4], "hlc": [921695, 13]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 6, "vc": [9, 7, 8, 8, 5, 10, 11, 4, 6, 4], "hlc": [921695, 11]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [8, 7, 9, 8, 5, 3, 12, 4, 6, 6], "hlc": [921696, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 7, "vc": [11, 14, 15, 7, 7, 8, 9, 12, 11, 4], "hlc": [921698, 2]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 7, "vc": [9, 7, 18, 9, 7, 9, 9, 4, 11, 4], "hlc": [921695, 14]}
