INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 38300, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 3.5, actual clock drifts: [-1.9694629802370311, 0.9636963798644205, -0.20663985464226187, 2.5281132659094503, 2.4620220661800367, -1.9201098723014, -1.588509226980463, 1.5110462152742876, -2.512903476144471, -1.6050945510807224]
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 9, "vc": [0, 1, 1, 15, 8, 0, 4, 4, 5, 6], "hlc": [921545, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 8, "vc": [9, 12, 9, 12, 14, 5, 6, 11, 15, 5], "hlc": [921545, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 3, "vc": [11, 10, 6, 14, 8, 6, 13, 4, 6, 1], "hlc": [921545, 1]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 1, "vc": [0, 15, 9, 12, 12, 1, 4, 4, 16, 5], "hlc": [921544, 5]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 5, "vc": [12, 10, 12, 13, 10, 13, 11, 4, 13, 7], "hlc": [921544, 6]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 9, "vc": [14, 7, 4, 4, 5, 3, 1, 3, 2, 0], "hlc": [921541, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 4, "vc": [0, 16, 7, 1, 12, 1, 3, 3, 2, 1], "hlc": [921544, 5]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [13, 14, 15, 13, 12, 3, 4, 4, 5, 1], "hlc": [921544, 6]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 7, "vc": [11, 10, 6, 14, 8, 6, 14, 4, 6, 1], "hlc": [921545, 2]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 6, "vc": [11, 10, 8, 9, 9, 6, 12, 13, 11, 3], "hlc": [921544, 1]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 0, "vc": [0, 15, 9, 12, 12, 1, 4, 4, 17, 5], "hlc": [921544, 6]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 3, "vc": [12, 10, 12, 13, 10, 13, 11, 4, 13, 8], "hlc": [921544, 7]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 8, "vc": [15, 15, 9, 12, 12, 3, 4, 4, 17, 5], "hlc": [921544, 7]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 9, "vc": [12, 10, 12, 16, 10, 13, 11, 4, 13, 8], "hlc": [921546, 0]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 1, "vc": [9, 16, 9, 12, 15, 5, 6, 11, 15, 5], "hlc": [921546, 0]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [13, 16, 15, 13, 16, 5, 6, 11, 15, 5], "hlc": [921546, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 7, "vc": [11, 10, 8, 14, 9, 6, 15, 13, 11, 3], "hlc": [921545, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 6, "vc": [11, 10, 8, 14, 9, 6, 14, 14, 11, 3], "hlc": [921545, 3]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 0, "vc": [14, 10, 12, 13, 10, 13, 11, 4, 13, 9], "hlc": [921544, 8]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 5, "vc": [0, 17, 7, 1, 12, 1, 3, 3, 2, 1], "hlc": [921544, 6]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 6, "vc": [12, 10, 12, 17, 10, 13, 11, 4, 13, 8], "hlc": [921546, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 2, "vc": [13, 16, 15, 13, 17, 5, 6, 11, 15, 5], "hlc": [921546, 2]}
