INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 39500, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 3.5, actual clock drifts: [-0.48313919518143633, -3.118698743003673, 2.820022420439673, 0.6018766187339608, 1.3632902781589111, 2.3712916049753687, -1.1797308063677479, -1.8421866366211952, -2.933293312555869, 1.508420287669197]
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 6, "vc": [13, 14, 5, 9, 2, 4, 10, 8, 5, 4], "hlc": [921541, 13]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 2, "vc": [2, 16, 5, 9, 2, 4, 10, 8, 5, 4], "hlc": [921541, 12]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 8, "vc": [7, 8, 19, 10, 11, 9, 15, 5, 7, 8], "hlc": [921544, 2]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 9, "vc": [3, 5, 8, 12, 6, 2, 14, 5, 3, 4], "hlc": [921542, 0]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 6, "vc": [7, 8, 12, 10, 11, 10, 8, 2, 3, 7], "hlc": [921543, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [3, 1, 8, 5, 6, 2, 17, 5, 1, 1], "hlc": [921541, 11]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 5, "vc": [9, 12, 12, 10, 11, 8, 16, 7, 5, 13], "hlc": [921543, 1]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 1, "vc": [7, 16, 20, 10, 11, 9, 15, 8, 7, 8], "hlc": [921544, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [7, 16, 21, 10, 11, 9, 17, 8, 7, 8], "hlc": [921544, 4]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 9, "vc": [9, 12, 12, 10, 11, 11, 16, 7, 5, 13], "hlc": [921544, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 0, "vc": [13, 14, 8, 9, 6, 4, 18, 8, 5, 4], "hlc": [921541, 14]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 5, "vc": [13, 14, 12, 10, 11, 10, 19, 8, 5, 7], "hlc": [921543, 2]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 2, "vc": [7, 8, 19, 10, 11, 9, 15, 5, 8, 8], "hlc": [921544, 3]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 3, "vc": [9, 12, 12, 12, 11, 8, 16, 7, 5, 14], "hlc": [921543, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [2, 17, 5, 9, 2, 4, 10, 8, 5, 4], "hlc": [921541, 13]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [7, 8, 16, 7, 15, 3, 13, 5, 1, 8], "hlc": [921543, 5]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 2, "vc": [12, 15, 15, 9, 13, 4, 13, 13, 5, 8], "hlc": [921543, 5]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 6, "vc": [9, 12, 12, 12, 11, 8, 16, 7, 5, 15], "hlc": [921543, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 7, "vc": [12, 16, 22, 10, 13, 9, 17, 13, 7, 8], "hlc": [921545, 0]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [9, 12, 16, 10, 15, 12, 16, 7, 5, 13], "hlc": [921544, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [13, 17, 12, 10, 11, 10, 20, 8, 5, 7], "hlc": [921543, 3]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [13, 17, 12, 12, 11, 10, 21, 8, 5, 15], "hlc": [921543, 4]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 2, "vc": [2, 18, 5, 9, 2, 4, 10, 8, 5, 4], "hlc": [921541, 14]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 9, "vc": [12, 16, 23, 10, 13, 9, 17, 13, 7, 8], "hlc": [921545, 1]}
