INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 45800, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 8.5, actual clock drifts: [-4.638606445797713, -6.427616644881452, 1.5725137029544118, 7.514017403388451, -6.145261678004413, -4.589303175339167, -4.7199962091575625, -4.427077492702441, 1.0650484831497238, 3.2060777881459046]
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 2, "vc": [5, 11, 6, 7, 7, 2, 10, 7, 16, 7], "hlc": [921724, 15]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 5, "vc": [9, 6, 9, 10, 5, 13, 5, 5, 7, 8], "hlc": [921725, 10]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 8, "vc": [9, 11, 10, 10, 7, 13, 10, 7, 16, 8], "hlc": [921725, 11]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 4, "vc": [5, 6, 6, 14, 10, 10, 8, 5, 13, 13], "hlc": [921729, 0]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 2, "vc": [5, 8, 8, 12, 6, 6, 16, 9, 10, 7], "hlc": [921726, 7]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 0, "vc": [13, 11, 6, 7, 7, 4, 10, 7, 17, 8], "hlc": [921724, 16]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 6, "vc": [13, 11, 6, 12, 7, 6, 15, 9, 18, 8], "hlc": [921726, 7]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 1, "vc": [14, 4, 6, 7, 1, 4, 8, 0, 14, 8], "hlc": [921724, 14]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 5, "vc": [9, 11, 11, 10, 7, 13, 10, 7, 16, 8], "hlc": [921725, 12]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [5, 6, 6, 15, 10, 10, 8, 5, 13, 13], "hlc": [921729, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [4, 6, 5, 10, 11, 10, 5, 5, 7, 13], "hlc": [921725, 11]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 4, "vc": [13, 11, 6, 12, 7, 6, 15, 9, 19, 8], "hlc": [921726, 8]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 0, "vc": [14, 12, 6, 7, 7, 4, 10, 7, 14, 8], "hlc": [921724, 15]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 8, "vc": [13, 11, 6, 12, 12, 10, 15, 9, 19, 13], "hlc": [921726, 9]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 2, "vc": [9, 11, 11, 10, 7, 14, 10, 7, 16, 8], "hlc": [921725, 13]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [9, 11, 11, 15, 10, 15, 10, 7, 16, 13], "hlc": [921729, 2]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [9, 11, 11, 15, 11, 16, 10, 7, 16, 13], "hlc": [921729, 3]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 5, "vc": [5, 6, 6, 16, 10, 10, 8, 5, 13, 13], "hlc": [921729, 2]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 2, "vc": [11, 8, 3, 7, 5, 4, 10, 11, 11, 8], "hlc": [921724, 14]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 6, "vc": [13, 11, 6, 12, 7, 6, 15, 9, 20, 8], "hlc": [921726, 9]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 7, "vc": [11, 11, 12, 10, 7, 13, 10, 11, 16, 8], "hlc": [921725, 13]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 3, "vc": [9, 11, 11, 16, 11, 17, 10, 7, 16, 13], "hlc": [921729, 4]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 8, "vc": [13, 11, 8, 12, 7, 6, 17, 9, 20, 8], "hlc": [921726, 10]}
