INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 40700, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 7.5, actual clock drifts: [4.640363694966606, 1.8115185812980226, -3.4238207720767413, -1.816102556415288, -5.168889847643173, -5.128256371111185, 5.711239680492989, -3.756598256952955, 6.75546973389922, 6.948259109126912]
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 2, "vc": [15, 10, 13, 3, 7, 9, 7, 12, 11, 4], "hlc": [921714, 2]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 2, "vc": [17, 10, 8, 3, 9, 12, 7, 12, 6, 4], "hlc": [921712, 9]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 9, "vc": [12, 15, 11, 3, 9, 11, 7, 12, 6, 10], "hlc": [921713, 4]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 9, "vc": [9, 5, 15, 3, 7, 9, 5, 11, 9, 4], "hlc": [921714, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 5, "vc": [7, 5, 12, 3, 13, 9, 5, 11, 6, 8], "hlc": [921713, 4]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [12, 12, 9, 3, 5, 5, 11, 13, 3, 4], "hlc": [921713, 1]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 9, "vc": [14, 10, 8, 3, 5, 5, 7, 17, 3, 4], "hlc": [921711, 8]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 2, "vc": [15, 10, 13, 3, 7, 9, 7, 12, 12, 4], "hlc": [921714, 3]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 2, "vc": [7, 3, 11, 3, 7, 9, 2, 6, 2, 11], "hlc": [921714, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 0, "vc": [17, 10, 16, 3, 9, 12, 7, 12, 9, 4], "hlc": [921714, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [17, 12, 17, 3, 9, 12, 11, 13, 9, 4], "hlc": [921714, 4]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 8, "vc": [17, 12, 18, 3, 9, 12, 11, 13, 12, 4], "hlc": [921714, 5]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 9, "vc": [17, 12, 19, 3, 9, 12, 11, 13, 12, 11], "hlc": [921714, 6]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 4, "vc": [14, 10, 12, 3, 13, 15, 7, 16, 6, 8], "hlc": [921713, 6]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 1, "vc": [12, 15, 11, 3, 9, 11, 7, 12, 6, 12], "hlc": [921715, 0]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 2, "vc": [12, 15, 15, 3, 9, 11, 7, 12, 9, 13], "hlc": [921715, 1]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 7, "vc": [14, 15, 15, 3, 9, 11, 7, 17, 9, 14], "hlc": [921715, 2]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 6, "vc": [18, 10, 8, 3, 9, 12, 7, 12, 6, 4], "hlc": [921713, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 4, "vc": [12, 16, 11, 3, 9, 11, 7, 12, 6, 10], "hlc": [921713, 5]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 3, "vc": [17, 12, 20, 3, 9, 12, 11, 13, 12, 11], "hlc": [921714, 7]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 2, "vc": [9, 5, 7, 8, 5, 8, 5, 14, 8, 7], "hlc": [921713, 4]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 2, "vc": [14, 10, 12, 3, 13, 16, 7, 16, 6, 8], "hlc": [921713, 7]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [12, 12, 9, 3, 5, 5, 12, 13, 3, 4], "hlc": [921714, 0]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 4, "vc": [14, 10, 8, 3, 5, 5, 7, 18, 3, 4], "hlc": [921711, 9]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 9, "vc": [15, 10, 13, 3, 7, 9, 7, 12, 13, 4], "hlc": [921715, 0]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 3, "vc": [17, 12, 21, 8, 9, 12, 11, 14, 12, 11], "hlc": [921714, 8]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 5, "vc": [17, 12, 22, 8, 13, 16, 11, 16, 12, 11], "hlc": [921714, 9]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 2, "vc": [17, 12, 20, 9, 9, 12, 11, 14, 12, 11], "hlc": [921714, 8]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [17, 12, 20, 10, 9, 12, 12, 14, 12, 11], "hlc": [921714, 9]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 1, "vc": [12, 16, 12, 3, 14, 11, 7, 12, 6, 10], "hlc": [921713, 6]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 7, "vc": [14, 16, 12, 3, 15, 11, 7, 18, 6, 10], "hlc": [921713, 7]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 0, "vc": [18, 12, 9, 3, 9, 12, 13, 13, 6, 4], "hlc": [921714, 1]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 8, "vc": [15, 15, 15, 3, 9, 11, 7, 17, 13, 15], "hlc": [921715, 3]}
