INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 61200, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 9.5, actual clock drifts: [-9.061456184631695, -8.250519697238822, 6.209818130348776, -7.706574627823113, -4.908525910235845, -6.964102570915957, 4.801723083903672, -5.247978374054487, -5.511605078921284, 0.463981880650584]
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 2, "vc": [6, 4, 5, 9, 10, 6, 6, 8, 8, 10], "hlc": [921740, 6]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 4, "vc": [6, 4, 1, 4, 0, 2, 13, 9, 9, 4], "hlc": [921742, 0]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 9, "vc": [6, 4, 8, 7, 0, 4, 6, 13, 4, 7], "hlc": [921741, 6]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 4, "vc": [6, 4, 12, 9, 10, 6, 9, 8, 9, 10], "hlc": [921744, 0]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 6, "vc": [6, 4, 5, 9, 11, 6, 13, 9, 9, 10], "hlc": [921742, 1]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 1, "vc": [11, 12, 10, 8, 6, 4, 9, 14, 9, 7], "hlc": [921742, 7]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 7, "vc": [6, 4, 8, 7, 0, 6, 11, 13, 9, 13], "hlc": [921741, 7]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 8, "vc": [14, 10, 10, 8, 6, 4, 9, 8, 13, 8], "hlc": [921742, 7]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 5, "vc": [11, 13, 10, 8, 6, 4, 9, 6, 9, 4], "hlc": [921742, 7]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 8, "vc": [6, 4, 5, 13, 5, 6, 12, 9, 11, 12], "hlc": [921741, 4]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 3, "vc": [6, 4, 5, 9, 12, 6, 13, 9, 9, 10], "hlc": [921742, 2]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 3, "vc": [6, 4, 11, 9, 8, 10, 9, 12, 15, 8], "hlc": [921742, 5]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 9, "vc": [6, 4, 1, 9, 8, 2, 6, 8, 16, 8], "hlc": [921739, 12]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 4, "vc": [6, 4, 5, 14, 12, 6, 13, 9, 11, 12], "hlc": [921742, 3]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 5, "vc": [6, 4, 11, 15, 12, 10, 13, 12, 15, 12], "hlc": [921742, 6]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 1, "vc": [11, 13, 11, 9, 8, 11, 9, 12, 15, 8], "hlc": [921742, 8]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 0, "vc": [14, 10, 10, 9, 8, 4, 9, 8, 17, 8], "hlc": [921742, 8]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 3, "vc": [14, 10, 10, 13, 8, 6, 12, 9, 18, 12], "hlc": [921742, 9]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 8, "vc": [6, 4, 8, 9, 8, 6, 11, 13, 16, 14], "hlc": [921741, 8]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 5, "vc": [11, 14, 10, 8, 6, 4, 9, 6, 9, 4], "hlc": [921742, 8]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 9, "vc": [6, 4, 13, 9, 10, 6, 9, 8, 9, 10], "hlc": [921744, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 7, "vc": [6, 4, 8, 9, 8, 6, 11, 13, 16, 15], "hlc": [921741, 9]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 1, "vc": [11, 14, 11, 9, 8, 12, 9, 12, 15, 8], "hlc": [921742, 9]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 9, "vc": [11, 12, 10, 9, 8, 6, 11, 15, 16, 15], "hlc": [921742, 8]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 2, "vc": [6, 4, 13, 9, 10, 6, 11, 13, 16, 16], "hlc": [921744, 2]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 6, "vc": [11, 15, 10, 8, 6, 4, 9, 6, 9, 4], "hlc": [921742, 9]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [6, 4, 14, 9, 10, 6, 9, 8, 9, 10], "hlc": [921745, 0]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 3, "vc": [11, 14, 11, 9, 8, 13, 9, 12, 15, 8], "hlc": [921742, 10]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 4, "vc": [6, 4, 1, 4, 0, 2, 14, 9, 9, 4], "hlc": [921743, 0]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [11, 12, 10, 9, 8, 6, 11, 16, 16, 15], "hlc": [921742, 9]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 6, "vc": [14, 10, 10, 13, 8, 6, 12, 9, 19, 12], "hlc": [921742, 10]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 2, "vc": [6, 4, 13, 9, 10, 6, 11, 13, 16, 17], "hlc": [921744, 3]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [11, 16, 10, 9, 8, 6, 11, 16, 16, 15], "hlc": [921742, 10]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 9, "vc": [6, 4, 15, 9, 10, 6, 11, 13, 16, 17], "hlc": [921745, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 5, "vc": [11, 14, 11, 16, 12, 13, 13, 12, 15, 12], "hlc": [921742, 11]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [6, 4, 14, 9, 13, 6, 13, 9, 9, 10], "hlc": [921745, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 6, "vc": [6, 4, 14, 9, 14, 6, 14, 9, 9, 10], "hlc": [921745, 2]}
