INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 44500, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 6.5, actual clock drifts: [4.934065913022955, 4.321506688542689, -0.7359559431406693, -0.4020311310230609, -2.8844492468372165, 6.211208571283658, -5.636824231886484, 3.7072094771019, -2.398418839343095, -2.7461644659817117]
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 9, "vc": [8, 9, 8, 20, 6, 14, 15, 7, 12, 14], "hlc": [921700, 2]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 1, "vc": [4, 9, 8, 11, 2, 0, 10, 8, 9, 11], "hlc": [921697, 1]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 1, "vc": [10, 6, 11, 13, 9, 7, 13, 1, 10, 19], "hlc": [921698, 8]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 3, "vc": [8, 13, 11, 21, 6, 10, 15, 5, 12, 17], "hlc": [921698, 12]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 7, "vc": [8, 14, 11, 21, 6, 10, 15, 8, 12, 17], "hlc": [921698, 13]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 9, "vc": [10, 15, 11, 21, 9, 10, 15, 8, 12, 19], "hlc": [921698, 14]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 1, "vc": [6, 12, 11, 13, 6, 7, 16, 5, 9, 17], "hlc": [921698, 10]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 2, "vc": [6, 12, 13, 13, 10, 7, 17, 5, 10, 17], "hlc": [921698, 11]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 5, "vc": [10, 9, 11, 20, 9, 14, 15, 7, 12, 20], "hlc": [921700, 3]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 6, "vc": [13, 6, 9, 17, 9, 10, 11, 1, 10, 14], "hlc": [921699, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 0, "vc": [10, 16, 11, 21, 9, 10, 15, 8, 12, 19], "hlc": [921698, 15]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 0, "vc": [8, 6, 8, 22, 6, 10, 15, 5, 12, 14], "hlc": [921698, 12]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 3, "vc": [12, 6, 9, 17, 12, 10, 11, 1, 10, 14], "hlc": [921698, 11]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 4, "vc": [8, 9, 8, 20, 6, 15, 15, 7, 12, 14], "hlc": [921700, 3]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 6, "vc": [10, 9, 11, 20, 9, 14, 15, 7, 12, 21], "hlc": [921700, 4]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [14, 16, 11, 21, 9, 10, 15, 8, 12, 19], "hlc": [921699, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 3, "vc": [15, 16, 11, 22, 9, 10, 15, 8, 12, 19], "hlc": [921699, 2]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 4, "vc": [12, 6, 9, 23, 12, 10, 15, 5, 12, 14], "hlc": [921698, 13]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 5, "vc": [12, 9, 9, 20, 13, 15, 15, 7, 12, 14], "hlc": [921700, 4]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 0, "vc": [13, 12, 13, 17, 10, 10, 18, 5, 10, 17], "hlc": [921699, 1]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 9, "vc": [13, 12, 13, 20, 10, 14, 19, 7, 12, 21], "hlc": [921700, 5]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 4, "vc": [16, 16, 11, 22, 9, 10, 15, 8, 12, 19], "hlc": [921699, 3]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 8, "vc": [10, 17, 11, 21, 9, 10, 15, 8, 12, 19], "hlc": [921699, 0]}
