INFO:root:Random workload: num sockets: 10, num iterations: 50, base address: 60600, chance of send: 3 in 5, round delay (s): 0.5, max clock drift (s): 9.5, actual clock drifts: [7.999770279463277, -3.181810852089362, -8.06894121172104, 4.0464282901894695, -0.5252321431411922, 7.551715214138667, 2.367465263375582, 8.287410226459514, -1.1854641268384878, -6.760127648980847]
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 4, "vc": [5, 3, 8, 2, 6, 4, 1, 9, 10, 3], "hlc": [921743, 2]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 7, "vc": [1, 2, 5, 1, 3, 0, 11, 2, 1, 8], "hlc": [921740, 12]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 1, "vc": [11, 6, 4, 2, 2, 3, 10, 8, 5, 1], "hlc": [921744, 0]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 5, "vc": [6, 3, 8, 10, 9, 7, 14, 7, 7, 5], "hlc": [921743, 1]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 8, "vc": [6, 3, 8, 10, 10, 7, 14, 9, 10, 5], "hlc": [921743, 3]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 0, "vc": [10, 2, 4, 2, 2, 3, 10, 11, 2, 1], "hlc": [921744, 1]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 3, "vc": [10, 2, 5, 12, 3, 5, 10, 12, 4, 5], "hlc": [921744, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 9, "vc": [10, 2, 5, 12, 3, 5, 11, 13, 4, 8], "hlc": [921744, 3]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 5, "vc": [12, 6, 4, 2, 2, 3, 10, 8, 5, 1], "hlc": [921744, 1]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 3, "vc": [6, 3, 8, 10, 11, 7, 14, 9, 10, 5], "hlc": [921743, 4]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 3, "vc": [0, 0, 0, 0, 0, 8, 0, 0, 0, 0], "hlc": [921743, 1]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 7, "vc": [6, 3, 8, 10, 3, 5, 15, 7, 7, 5], "hlc": [921742, 10]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 4, "vc": [8, 3, 8, 13, 11, 7, 14, 9, 10, 5], "hlc": [921743, 5]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 5, "vc": [8, 3, 8, 14, 11, 8, 14, 9, 10, 5], "hlc": [921743, 6]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 0, "vc": [12, 6, 4, 2, 2, 9, 10, 8, 5, 1], "hlc": [921744, 2]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 6, "vc": [10, 3, 8, 12, 3, 5, 15, 14, 7, 8], "hlc": [921745, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 4, "vc": [3, 7, 0, 2, 0, 2, 1, 8, 5, 0], "hlc": [921742, 5]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 6, "vc": [8, 3, 8, 15, 11, 8, 14, 9, 10, 5], "hlc": [921743, 7]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 0, "vc": [6, 3, 8, 10, 12, 7, 14, 9, 10, 5], "hlc": [921743, 5]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 2, "vc": [6, 3, 8, 10, 3, 5, 16, 7, 7, 5], "hlc": [921742, 11]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 1, "vc": [5, 3, 8, 2, 6, 4, 1, 9, 11, 3], "hlc": [921743, 3]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 4, "vc": [1, 2, 5, 1, 3, 0, 11, 2, 1, 9], "hlc": [921740, 13]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 4, "vc": [13, 6, 8, 10, 12, 7, 14, 9, 10, 5], "hlc": [921745, 0]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 8, "vc": [5, 8, 8, 2, 6, 4, 1, 9, 11, 3], "hlc": [921743, 4]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 6, "vc": [6, 3, 10, 10, 3, 5, 16, 7, 7, 6], "hlc": [921742, 12]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 1, "vc": [6, 7, 8, 10, 13, 7, 14, 9, 10, 5], "hlc": [921743, 6]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 9, "vc": [6, 7, 8, 10, 14, 7, 14, 9, 10, 9], "hlc": [921743, 7]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 3, "vc": [8, 3, 8, 15, 11, 8, 17, 9, 10, 5], "hlc": [921743, 8]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 4, "vc": [5, 9, 8, 2, 6, 4, 1, 9, 11, 3], "hlc": [921743, 5]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 8, "vc": [8, 3, 8, 16, 11, 8, 14, 9, 10, 5], "hlc": [921743, 8]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 9, "vc": [6, 7, 8, 10, 15, 7, 14, 9, 10, 9], "hlc": [921743, 8]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 0, "vc": [10, 3, 8, 12, 3, 5, 15, 15, 7, 8], "hlc": [921745, 1]}
INFO:<Node 0>:{"send": false, "recv": true, "to": 0, "from": 7, "vc": [14, 6, 8, 12, 12, 7, 15, 15, 10, 8], "hlc": [921745, 2]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 1, "vc": [6, 9, 8, 10, 16, 7, 14, 9, 11, 9], "hlc": [921743, 9]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 3, "vc": [8, 3, 8, 16, 11, 8, 14, 9, 12, 5], "hlc": [921743, 9]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 4, "vc": [6, 7, 8, 10, 15, 7, 14, 9, 10, 10], "hlc": [921743, 9]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 5, "vc": [5, 10, 8, 2, 6, 4, 1, 9, 11, 3], "hlc": [921743, 6]}
INFO:<Node 2>:{"send": true, "recv": false, "from": 2, "to": 4, "vc": [6, 3, 11, 10, 3, 5, 16, 7, 7, 6], "hlc": [921742, 13]}
INFO:<Node 3>:{"send": true, "recv": false, "from": 3, "to": 8, "vc": [8, 3, 8, 17, 11, 8, 14, 9, 10, 5], "hlc": [921743, 9]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 6, "vc": [6, 9, 8, 10, 17, 7, 14, 9, 11, 9], "hlc": [921743, 10]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 1, "vc": [12, 6, 4, 2, 2, 10, 10, 8, 5, 1], "hlc": [921745, 0]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 7, "vc": [8, 3, 8, 15, 11, 8, 18, 9, 10, 5], "hlc": [921743, 9]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 2, "vc": [8, 3, 8, 16, 11, 8, 14, 9, 13, 5], "hlc": [921743, 10]}
INFO:<Node 9>:{"send": true, "recv": false, "from": 9, "to": 5, "vc": [6, 7, 8, 10, 15, 7, 14, 9, 10, 11], "hlc": [921743, 10]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 5, "vc": [12, 11, 8, 2, 6, 10, 10, 9, 11, 3], "hlc": [921745, 1]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 8, "vc": [8, 3, 12, 16, 11, 8, 16, 9, 13, 6], "hlc": [921743, 11]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 2, "vc": [6, 9, 11, 10, 18, 7, 16, 9, 11, 9], "hlc": [921743, 11]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 1, "vc": [12, 10, 8, 2, 6, 11, 10, 9, 11, 3], "hlc": [921745, 1]}
INFO:<Node 5>:{"send": false, "recv": true, "to": 5, "from": 9, "vc": [12, 10, 8, 10, 15, 12, 14, 9, 11, 11], "hlc": [921745, 2]}
INFO:<Node 6>:{"send": false, "recv": true, "to": 6, "from": 4, "vc": [8, 9, 8, 15, 17, 8, 19, 9, 11, 9], "hlc": [921743, 11]}
INFO:<Node 7>:{"send": false, "recv": true, "to": 7, "from": 6, "vc": [10, 3, 8, 15, 11, 8, 18, 16, 10, 8], "hlc": [921746, 0]}
INFO:<Node 8>:{"send": false, "recv": true, "to": 8, "from": 3, "vc": [8, 3, 8, 17, 11, 8, 14, 9, 14, 5], "hlc": [921743, 11]}
INFO:<Node 5>:{"send": true, "recv": false, "from": 5, "to": 9, "vc": [12, 10, 8, 10, 15, 13, 14, 9, 11, 11], "hlc": [921745, 3]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 4, "vc": [8, 9, 8, 15, 17, 8, 20, 9, 11, 9], "hlc": [921743, 12]}
INFO:<Node 4>:{"send": false, "recv": true, "to": 4, "from": 6, "vc": [8, 9, 11, 15, 19, 8, 20, 9, 11, 9], "hlc": [921743, 13]}
INFO:<Node 9>:{"send": false, "recv": true, "to": 9, "from": 5, "vc": [12, 10, 8, 10, 15, 13, 14, 9, 11, 12], "hlc": [921745, 4]}
INFO:<Node 0>:{"send": true, "recv": false, "from": 0, "to": 7, "vc": [15, 6, 8, 12, 12, 7, 15, 15, 10, 8], "hlc": [921746, 0]}
INFO:<Node 1>:{"send": true, "recv": false, "from": 1, "to": 3, "vc": [12, 12, 8, 2, 6, 10, 10, 9, 11, 3], "hlc": [921745, 2]}
INFO:<Node 4>:{"send": true, "recv": false, "from": 4, "to": 1, "vc": [8, 9, 11, 15, 20, 8, 20, 9, 11, 9], "hlc": [921743, 14]}
INFO:<Node 6>:{"send": true, "recv": false, "from": 6, "to": 3, "vc": [8, 9, 8, 15, 17, 8, 21, 9, 11, 9], "hlc": [921743, 13]}
INFO:<Node 7>:{"send": true, "recv": false, "from": 7, "to": 2, "vc": [10, 3, 8, 15, 11, 8, 18, 17, 10, 8], "hlc": [921747, 0]}
INFO:<Node 8>:{"send": true, "recv": false, "from": 8, "to": 6, "vc": [8, 3, 8, 17, 11, 8, 14, 9, 15, 5], "hlc": [921743, 12]}
INFO:<Node 1>:{"send": false, "recv": true, "to": 1, "from": 4, "vc": [12, 13, 11, 15, 20, 10, 20, 9, 11, 9], "hlc": [921745, 3]}
INFO:<Node 2>:{"send": false, "recv": true, "to": 2, "from": 7, "vc": [10, 3, 13, 16, 11, 8, 18, 17, 13, 8], "hlc": [921747, 1]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 1, "vc": [12, 12, 8, 18, 11, 10, 14, 9, 11, 5], "hlc": [921745, 3]}
INFO:<Node 3>:{"send": false, "recv": true, "to": 3, "from": 6, "vc": [12, 12, 8, 19, 17, 10, 21, 9, 11, 9], "hlc": [921745, 4]}
